City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hamilton,40,BM,1548899700,88,32.3,-64.78,66.2,10.29
88,hailun,48,CN,1548903556,53,47.46,126.97,7.39,5.3
89,adrar,0,DZ,1548900000,29,27.87,-0.29,48.2,4.7
90,lasa,75,CY,1548901800,63,34.92,32.53,60.8,13.87
91,norman wells,75,CA,1548900000,70,65.28,-126.83,-2.21,23.04
92,kang,44,BW,1548903557,42,-23.67,22.79,71.15,8.43
93,longyearbyen,20,NO,1548899400,58,78.22,15.63,28.4,20.8
94,pasni,12,PK,1548903558,99,25.26,63.48,67.46,9.89
95,adre,0,TD,1548903559,58,13.47,22.2,60.76,4.41
96,vezirkopru,75,TR,1548901200,75,41.14,35.45,41.0,5.82
97,poronaysk,76,RU,1548903559,79,49.22,143.1,14.59,15.14
98,arraial do cabo,0,BR,1548903345,82,-22.97,-42.02,78.31,17.16
99,san luis,0,AR,1548903560,48,-33.3,-66.34,79.48,13.91
100,gediz,92,TR,1548903561,98,38.99,29.39,38.26,5.75
101,muyezerskiy,80,RU,1548903561,87,63.93,31.65,19.67,5.3
102,laguna,20,MX,1548898980,63,27.52,-110.01,64.4,3.36
103,hithadhoo,80,MV,1548903280,98,-0.6,73.08,83.84,18.05
104,vestmannaeyjar,0,IS,1548903312,100,63.44,-20.27,21.43,13.91
105,tucuman,24,PE,1548903562,90,-17.17,-70.89,60.04,1.72
106,bredasdorp,88,ZA,1548900000,88,-34.53,20.04,68.0,4.7
107,katsuura,75,JP,1548900000,81,33.93,134.5,46.4,1.12
108,fort nelson,90,CA,1548900000,84,58.81,-122.69,5.0,6.93
109,atuona,44,PF,1548903254,100,-9.8,-139.03,81.32,18.95
110,santa maria da vitoria,0,BR,1548903563,45,-13.39,-44.19,77.36,11.68
111,bluff,8,AU,1548903261,43,-23.58,149.07,90.86,13.58
112,karratha,0,AU,1548903313,41,-20.74,116.85,95.9,10.67
113,carballo,92,ES,1548901800,93,43.21,-8.69,55.4,11.41
114,tuktoyaktuk,90,CA,1548902640,76,69.44,-133.03,-4.01,24.16
115,llanes,92,ES,1548903565,93,43.42,-4.75,42.62,5.19
116,tena,68,EC,1548903565,96,-0.99,-77.82,61.39,2.73
117,uchkeken,90,RU,1548901800,67,43.95,42.51,33.8,15.66
118,mount gambier,75,AU,1548900000,40,-37.83,140.78,68.0,19.46
119,margate,75,AU,1548901800,47,-43.03,147.26,59.0,16.11
120,nyurba,24,RU,1548903315,42,63.29,118.35,-27.13,4.74
121,oron,68,NG,1548903566,96,4.81,8.23,76.01,4.63
122,burnie,8,AU,1548903567,100,-41.05,145.91,59.68,25.55
123,chuy,64,UY,1548903318,94,-33.69,-53.46,76.69,2.51
124,yerbogachen,48,RU,1548903357,66,61.28,108.01,-22.95,4.85
125,portland,1,US,1548899760,62,45.52,-122.67,46.04,5.82
126,malumfashi,0,NG,1548903568,35,11.79,7.62,59.27,8.32
127,turiacu,64,BR,1548903568,95,-5.01,-63.0,77.86,2.17
128,la plata,0,AR,1548900000,88,-34.92,-57.95,78.8,3.36
129,bud,88,NO,1548901200,47,62.91,6.91,39.2,12.75
130,torbay,90,CA,1548901440,92,47.66,-52.73,30.2,14.99
131,noumea,0,NC,1548901800,55,-22.28,166.46,86.0,20.8
132,port hedland,8,AU,1548901800,56,-20.31,118.58,95.0,14.99
133,kavaratti,0,IN,1548903435,100,10.57,72.64,81.95,4.97
134,port alfred,68,ZA,1548903281,98,-33.59,26.89,69.08,9.78
135,victoria,75,BN,1548901800,74,5.28,115.24,87.8,1.12
136,shaunavon,80,CA,1548903571,80,49.65,-108.41,17.06,4.41
137,saint-philippe,1,CA,1548902820,50,45.36,-73.48,5.0,27.51
138,hualmay,20,PE,1548903571,91,-11.1,-77.61,68.59,3.85
139,ostrovnoy,88,RU,1548903386,91,68.05,39.51,9.05,14.7
140,kondinskoye,24,RU,1548903572,38,59.65,67.41,-24.52,4.29
141,cache creek,90,CA,1548900000,73,50.81,-121.33,33.8,4.7
142,senanga,24,ZM,1548903572,91,-16.1,23.3,67.73,3.4
143,vila franca do campo,75,PT,1548900000,93,37.72,-25.43,62.6,16.11
144,ternate,75,PH,1548900000,65,14.29,120.72,82.4,4.7
145,rabo de peixe,75,PT,1548900000,93,37.8,-25.58,62.6,16.11
146,london,0,GB,1548901200,100,51.51,-0.13,26.6,2.24
147,hirara,40,JP,1548900000,69,24.8,125.28,77.0,13.87
148,carnarvon,0,ZA,1548903280,92,-30.97,22.13,50.09,3.51
149,hobart,75,AU,1548901800,47,-42.88,147.33,59.0,16.11
150,amazar,0,RU,1548903575,51,53.86,120.88,-11.2,2.95
151,zelenoborsk,56,RU,1548903575,66,61.47,64.05,-22.32,3.85
152,alexandria,90,US,1548902100,86,31.31,-92.44,42.98,3.74
153,half moon bay,75,US,1548902400,93,37.46,-122.43,62.06,6.93
154,kibaya,20,RW,1548901800,93,-2.2,30.56,62.6,2.24
155,ponta do sol,68,BR,1548903328,45,-20.63,-46.0,76.96,6.2
156,baykit,48,RU,1548903577,38,61.68,96.39,-26.14,9.22
